customer_id,age,gender,location,item_purchased,category,purchase_amount_usd,size,color,season,subscription_status,shipping_type,promo_code_used,discount_applied,payment_method,previous_purchases,review_rating,spend_tier,loyalty_score
CUST0001,56,Male,Ohio,Boots,Footwear,81.78,M,Navy,Winter,Yes,Free Shipping,Yes,Yes,Credit Card,28,4.2,High,Gold
CUST0002,69,Male,Washington,Sandals,Footwear,68.52,L,White,Spring,No,Store Pickup,Yes,Yes,Credit Card,38,3.0,Mid,Gold
CUST0003,46,Male,Pennsylvania,Belt,Accessories,44.26,M,Gray,Fall,No,Free Shipping,No,No,Credit Card,10,4.3,Low,Bronze
CUST0004,32,Female,Colorado,Shorts,Clothing,66.99,XXL,Black,Winter,No,Store Pickup,Yes,Yes,Credit Card,22,4.1,Mid,Silver
CUST0005,60,Male,Texas,Wallet,Accessories,40.09,XS,Gray,Summer,No,Express,No,No,Credit Card,2,3.6,Low,Bronze
CUST0006,25,Female,Michigan,Boots,Footwear,58.94,M,Red,Summer,No,Store Pickup,No,No,PayPal,17,3.3,Mid,Silver
CUST0007,38,Female,Indiana,Boots,Footwear,83.74,S,Green,Winter,Yes,2-Day Shipping,No,No,Credit Card,38,5.0,High,Platinum
CUST0008,56,Male,Texas,Gloves,Accessories,43.64,M,Pink,Summer,No,Express,Yes,Yes,Credit Card,9,4.1,Low,Bronze
CUST0009,36,Male,Illinois,Sunglasses,Accessories,55.87,XL,Brown,Fall,Yes,Next Day Air,No,No,Debit Card,49,3.2,Mid,Platinum
CUST0010,40,Male,Arizona,Hoodie,Clothing,28.5,XXL,Gray,Spring,Yes,Free Shipping,Yes,Yes,Credit Card,39,4.4,Low,Platinum
CUST0011,28,Male,Texas,Sneakers,Footwear,55.68,XS,Black,Winter,No,Standard,No,No,Credit Card,15,4.0,Mid,Silver
CUST0012,28,Female,Colorado,Jeans,Clothing,41.94,XS,Beige,Fall,No,Store Pickup,No,No,Credit Card,21,3.8,Low,Silver
CUST0013,41,Male,Pennsylvania,Sweater,Clothing,47.18,XXL,Gray,Summer,Yes,Free Shipping,No,No,PayPal,29,4.5,Mid,Gold
CUST0014,70,Female,New York,Hoodie,Clothing,64.64,XXL,Gray,Spring,Yes,Free Shipping,No,No,Bank Transfer,47,2.0,Mid,Platinum
CUST0015,53,Female,Illinois,Belt,Accessories,26.58,L,Beige,Fall,Yes,Next Day Air,No,No,Credit Card,45,2.5,Low,Platinum
CUST0016,57,Female,Indiana,Belt,Accessories,44.11,S,Pink,Spring,No,Standard,No,No,Debit Card,20,4.8,Low,Silver
CUST0017,41,Female,Ohio,Sneakers,Footwear,42.57,XXL,Green,Spring,No,Express,No,No,Debit Card,22,3.7,Low,Silver
CUST0018,20,Male,Colorado,Sunglasses,Accessories,65.66,XXL,Gray,Fall,No,Free Shipping,Yes,Yes,Venmo,6,3.5,Mid,Bronze
CUST0019,39,Male,Pennsylvania,Backpack,Accessories,15.0,L,Gray,Spring,No,Standard,No,No,Bank Transfer,29,2.9,Low,Silver
CUST0020,70,Male,Virginia,Sunglasses,Accessories,42.13,XXL,Brown,Spring,No,Free Shipping,Yes,No,PayPal,17,3.9,Low,Silver
CUST0021,19,Male,Maryland,Sweater,Clothing,62.31,M,Beige,Fall,No,Store Pickup,No,Yes,Credit Card,26,4.0,Mid,Silver
CUST0022,41,Male,Illinois,Boots,Footwear,64.44,XL,Green,Spring,No,Free Shipping,Yes,Yes,Credit Card,23,4.8,Mid,Silver
CUST0023,61,Female,Washington,Sneakers,Footwear,49.47,XL,Green,Summer,No,Express,No,No,Debit Card,26,4.1,Mid,Silver
CUST0024,47,Female,Minnesota,Hoodie,Clothing,30.07,XL,Red,Spring,No,Free Shipping,No,No,Venmo,9,3.6,Low,Bronze
CUST0025,55,Male,Illinois,Wallet,Accessories,55.52,XXL,Pink,Fall,No,Free Shipping,No,No,Bank Transfer,10,4.1,Mid,Bronze
CUST0026,19,Male,Pennsylvania,Sweater,Clothing,64.33,XL,Red,Fall,No,Free Shipping,No,No,Credit Card,35,4.6,Mid,Gold
CUST0027,38,Male,New York,Backpack,Accessories,52.67,S,Navy,Fall,No,Standard,No,No,Credit Card,5,4.4,Mid,Bronze
CUST0028,50,Male,Missouri,Leggings,Clothing,58.87,M,White,Summer,Yes,Express,Yes,No,Bank Transfer,24,4.2,Mid,Gold
CUST0029,29,Female,Pennsylvania,Sunglasses,Accessories,15.0,XL,Pink,Spring,No,Free Shipping,No,No,PayPal,18,4.0,Low,Silver
CUST0030,39,Male,Arizona,Jacket,Outerwear,61.96,XS,Navy,Spring,No,Standard,No,No,PayPal,18,3.7,Mid,Silver
CUST0031,61,Male,Texas,Jacket,Outerwear,76.94,XXL,White,Summer,No,Free Shipping,No,No,Debit Card,13,3.4,High,Bronze
CUST0032,42,Male,Michigan,Boots,Footwear,60.24,M,Black,Winter,No,Store Pickup,No,No,Credit Card,22,3.0,Mid,Silver
CUST0033,66,Male,California,Hoodie,Clothing,35.72,S,Pink,Spring,No,Free Shipping,Yes,Yes,PayPal,25,4.1,Low,Silver
CUST0034,44,Male,Wisconsin,Sneakers,Footwear,63.33,XL,Beige,Summer,Yes,Free Shipping,No,No,Bank Transfer,34,4.1,Mid,Gold
CUST0035,59,Male,Georgia,Backpack,Accessories,46.63,S,Navy,Spring,Yes,Express,No,No,Debit Card,32,4.6,Mid,Gold
CUST0036,45,Male,Indiana,Wallet,Accessories,36.72,XXL,Gray,Fall,No,Store Pickup,Yes,Yes,PayPal,17,4.2,Low,Silver
CUST0037,33,Male,Minnesota,Hoodie,Clothing,41.97,XL,Red,Fall,Yes,Next Day Air,Yes,Yes,Debit Card,30,4.5,Low,Gold
CUST0038,32,Male,Wisconsin,Hoodie,Clothing,61.51,XS,White,Fall,No,Store Pickup,No,No,Credit Card,4,3.7,Mid,Bronze
CUST0039,64,Male,California,Hoodie,Clothing,46.12,M,Navy,Winter,No,Free Shipping,Yes,Yes,Credit Card,20,4.3,Mid,Silver
CUST0040,68,Male,North Carolina,Dress,Clothing,53.04,XS,Blue,Fall,No,Express,No,No,Credit Card,24,3.1,Mid,Silver
CUST0041,61,Male,Texas,Belt,Accessories,29.26,XL,Pink,Spring,No,Express,No,No,PayPal,16,3.8,Low,Silver
CUST0042,69,Male,North Carolina,Sweater,Clothing,49.08,L,Red,Summer,No,Store Pickup,No,No,Credit Card,1,2.5,Mid,Bronze
CUST0043,20,Female,Washington,Dress,Clothing,39.58,M,Green,Fall,No,Standard,No,No,Credit Card,13,3.8,Low,Bronze
CUST0044,54,Male,Tennessee,Hoodie,Clothing,60.47,S,Red,Fall,No,Store Pickup,No,No,Debit Card,25,4.7,Mid,Silver
CUST0045,68,Female,Pennsylvania,Wallet,Accessories,39.86,XL,Navy,Fall,No,Standard,No,No,Credit Card,6,3.8,Low,Bronze
CUST0046,24,Male,Georgia,Sneakers,Footwear,59.83,XS,Beige,Fall,Yes,Express,No,No,Credit Card,41,4.3,Mid,Platinum
CUST0047,38,Male,Washington,Coat,Outerwear,104.12,XXL,Black,Fall,Yes,Free Shipping,No,No,PayPal,30,4.5,High,Gold
CUST0048,26,Male,California,Shorts,Clothing,40.32,L,White,Winter,No,Standard,Yes,No,Venmo,17,3.4,Low,Silver
CUST0049,56,Male,Missouri,Scarf,Accessories,31.6,XXL,Red,Fall,No,Standard,No,No,Debit Card,12,3.7,Low,Bronze
CUST0050,35,Female,North Carolina,Leggings,Clothing,35.08,XL,Black,Winter,No,Standard,No,No,Debit Card,8,4.6,Low,Bronze
CUST0051,21,Male,Ohio,Dress,Clothing,24.56,S,Gray,Summer,No,Express,Yes,Yes,Venmo,29,4.3,Low,Silver
CUST0052,42,Male,Pennsylvania,Wallet,Accessories,46.66,XS,Green,Fall,Yes,Express,No,No,PayPal,43,3.4,Mid,Platinum
CUST0053,31,Male,New York,Sandals,Footwear,79.99,M,Brown,Winter,No,Express,No,No,PayPal,23,2.8,High,Silver
CUST0054,67,Male,Pennsylvania,Hat,Accessories,29.59,L,Gray,Summer,Yes,Free Shipping,Yes,Yes,Credit Card,44,3.9,Low,Platinum
CUST0055,26,Male,Texas,Hat,Accessories,28.92,XL,Blue,Winter,No,Store Pickup,No,No,PayPal,22,3.4,Low,Silver
CUST0056,43,Male,Indiana,Hoodie,Clothing,30.0,XL,Green,Fall,Yes,Express,No,No,Credit Card,44,3.7,Low,Platinum
CUST0057,70,Female,Colorado,Gloves,Accessories,15.0,XL,Blue,Spring,No,Free Shipping,No,No,Credit Card,12,2.8,Low,Bronze
CUST0058,19,Male,Missouri,Boots,Footwear,77.72,XL,Beige,Fall,No,Express,Yes,Yes,Credit Card,29,4.5,High,Silver
CUST0059,37,Male,Illinois,Blouse,Clothing,19.06,XS,White,Spring,No,Free Shipping,Yes,Yes,Credit Card,28,3.7,Low,Silver
CUST0060,45,Female,Indiana,Leggings,Clothing,35.77,M,Gray,Winter,No,Free Shipping,No,Yes,PayPal,21,3.8,Low,Silver
CUST0061,64,Male,North Carolina,Gloves,Accessories,41.9,S,Beige,Winter,No,Standard,No,No,Debit Card,15,3.2,Low,Silver
CUST0062,24,Female,Minnesota,Sandals,Footwear,58.08,L,Pink,Spring,No,Standard,No,No,PayPal,8,3.6,Mid,Bronze
CUST0063,61,Male,Tennessee,Blouse,Clothing,46.65,XL,Brown,Spring,No,Free Shipping,Yes,Yes,Cash,19,3.9,Mid,Silver
CUST0064,25,Female,Michigan,Sandals,Footwear,69.08,XXL,Green,Fall,Yes,Free Shipping,Yes,Yes,Venmo,50,3.4,Mid,Platinum
CUST0065,64,Male,Illinois,Sandals,Footwear,55.72,XL,White,Summer,Yes,2-Day Shipping,No,No,PayPal,23,3.6,Mid,Silver
CUST0066,52,Female,Missouri,Sandals,Footwear,43.35,M,White,Spring,No,Free Shipping,No,No,Debit Card,26,4.8,Low,Silver
CUST0067,31,Female,Virginia,Boots,Footwear,61.39,M,Red,Fall,No,Free Shipping,No,No,Credit Card,14,2.6,Mid,Bronze
CUST0068,34,Male,New York,Scarf,Accessories,31.53,XS,Pink,Summer,No,Store Pickup,No,No,Venmo,14,3.9,Low,Bronze
CUST0069,53,Female,Arizona,T-shirt,Clothing,20.07,XS,White,Spring,No,Standard,Yes,Yes,PayPal,8,3.3,Low,Bronze
CUST0070,67,Male,Ohio,Sneakers,Footwear,56.56,XXL,Navy,Winter,No,Express,Yes,Yes,Debit Card,11,4.7,Mid,Bronze
CUST0071,57,Male,Maryland,Sandals,Footwear,61.53,XXL,Pink,Winter,No,Free Shipping,Yes,Yes,Credit Card,23,3.7,Mid,Silver
